type,startDate,endDate,value
feature_appleStandTime,2023-09-17 06:30:00 +0000,2023-09-17 06:35:00 +0000,5.0
feature_appleStandTime,2023-09-17 06:25:00 +0000,2023-09-17 06:30:00 +0000,5.0
feature_appleStandTime,2023-09-17 06:20:00 +0000,2023-09-17 06:25:00 +0000,5.0
feature_appleStandTime,2023-09-17 06:15:00 +0000,2023-09-17 06:20:00 +0000,5.0
feature_appleStandTime,2023-09-17 06:10:00 +0000,2023-09-17 06:15:00 +0000,5.0
feature_appleStandTime,2023-09-16 17:40:00 +0000,2023-09-16 17:45:00 +0000,2.0
feature_appleStandTime,2023-09-16 17:35:00 +0000,2023-09-16 17:40:00 +0000,4.0
feature_appleStandTime,2023-09-16 17:30:00 +0000,2023-09-16 17:35:00 +0000,3.0
feature_appleStandTime,2023-09-16 16:55:00 +0000,2023-09-16 17:00:00 +0000,4.0
feature_appleStandTime,2023-09-16 12:40:00 +0000,2023-09-16 12:45:00 +0000,1.0
feature_appleStandTime,2023-09-16 12:35:00 +0000,2023-09-16 12:40:00 +0000,2.0
feature_appleStandTime,2023-09-16 12:25:00 +0000,2023-09-16 12:30:00 +0000,1.0
feature_appleStandTime,2023-09-16 12:10:00 +0000,2023-09-16 12:15:00 +0000,2.0
feature_appleStandTime,2023-09-16 12:05:00 +0000,2023-09-16 12:10:00 +0000,3.0
feature_appleStandTime,2023-09-16 12:00:00 +0000,2023-09-16 12:05:00 +0000,3.0
feature_appleStandTime,2023-09-16 11:55:00 +0000,2023-09-16 12:00:00 +0000,1.0
feature_appleStandTime,2023-09-16 11:35:00 +0000,2023-09-16 11:40:00 +0000,1.0
feature_appleStandTime,2023-09-16 11:30:00 +0000,2023-09-16 11:35:00 +0000,2.0
feature_appleStandTime,2023-09-16 11:25:00 +0000,2023-09-16 11:30:00 +0000,1.0
feature_appleStandTime,2023-09-16 11:20:00 +0000,2023-09-16 11:25:00 +0000,1.0
feature_appleStandTime,2023-09-16 11:15:00 +0000,2023-09-16 11:20:00 +0000,2.0
feature_appleStandTime,2023-09-16 11:10:00 +0000,2023-09-16 11:15:00 +0000,1.0
feature_appleStandTime,2023-09-16 10:35:00 +0000,2023-09-16 10:40:00 +0000,1.0
